Date,Round,Match,Home,Away
2024-09-08,307691,Vancouver Whitecaps 0-0 FC Dallas,Vancouver Whitecaps,FC Dallas
2024-07-14,546238,Chicago Fire FC 0-0 New York City FC,Chicago Fire FC,New York City FC
2024-07-17,546238,Atlanta United 2-2 New York City FC,Atlanta United,New York City FC
2024-07-20,546238,Orlando City 1-1 New York City FC,Orlando City,New York City FC
2024-08-24,546238,New York City FC 2-2 Chicago Fire FC,New York City FC,Chicago Fire FC
2024-08-31,546238,Columbus Crew 4-2 New York City FC,Columbus Crew,New York City FC
2024-07-13,722265,FC Cincinnati 1-3 Charlotte FC,FC Cincinnati,Charlotte FC
2024-07-17,722265,FC Cincinnati 0-1 Chicago Fire FC,FC Cincinnati,Chicago Fire FC
2024-07-20,722265,New York Red Bulls 3-1 FC Cincinnati,New York Red Bulls,FC Cincinnati
2024-08-24,722265,Inter Miami CF 2-0 FC Cincinnati,Inter Miami CF,FC Cincinnati
2024-08-31,722265,FC Cincinnati 4-1 CF Montreal,FC Cincinnati,CF Montreal
2024-07-13,773958,CF Montreal 1-0 Atlanta United,CF Montreal,Atlanta United
2024-07-17,773958,Atlanta United 2-2 New York City FC,Atlanta United,New York City FC
2024-07-20,773958,Atlanta United 2-1 Columbus Crew,Atlanta United,Columbus Crew
2024-08-25,773958,LA Galaxy 2-0 Atlanta United,LA Galaxy,Atlanta United
2024-08-31,773958,Charlotte FC 0-1 Atlanta United,Charlotte FC,Atlanta United
2024-07-14,867280,Los Angeles FC 1-5 Columbus Crew,Los Angeles FC,Columbus Crew
2024-07-18,867280,Los Angeles FC 1-1 Real Salt Lake,Los Angeles FC,Real Salt Lake
2024-07-21,867280,Seattle Sounders FC 0-3 Los Angeles FC,Seattle Sounders FC,Los Angeles FC
2024-09-01,867280,Los Angeles FC 0-2 Houston Dynamo FC,Los Angeles FC,Houston Dynamo FC
2024-09-08,867280,Houston Dynamo FC 0-0 Los Angeles FC,Houston Dynamo FC,Los Angeles FC
2024-07-13,915807,DC United 2-1 Nashville SC,DC United,Nashville SC
2024-07-18,915807,Nashville SC 0-3 Orlando City,Nashville SC,Orlando City
2024-07-20,915807,Philadelphia Union 3-0 Nashville SC,Philadelphia Union,Nashville SC
2024-08-25,915807,Nashville SC 0-2 Austin FC,Nashville SC,Austin FC
2024-08-31,915807,Orlando City 3-0 Nashville SC,Orlando City,Nashville SC
2024-07-06,960720,FC Cincinnati 6-1 Inter Miami CF,FC Cincinnati,Inter Miami CF
2024-07-17,960720,Inter Miami CF 3-1 Toronto FC,Inter Miami CF,Toronto FC
2024-07-20,960720,Inter Miami CF 2-1 Chicago Fire FC,Inter Miami CF,Chicago Fire FC
2024-08-24,960720,Inter Miami CF 2-0 FC Cincinnati,Inter Miami CF,FC Cincinnati
2024-09-01,960720,Chicago Fire FC 1-4 Inter Miami CF,Chicago Fire FC,Inter Miami CF
2024-07-14,1218886,Austin FC 0-1 Seattle Sounders FC,Austin FC,Seattle Sounders FC
2024-07-18,1218886,FC Dallas 3-1 Austin FC,FC Dallas,Austin FC
2024-07-21,1218886,Austin FC 2-2 Charlotte FC,Austin FC,Charlotte FC
2024-08-25,1218886,Nashville SC 0-2 Austin FC,Nashville SC,Austin FC
2024-09-01,1218886,Austin FC 0-1 Vancouver Whitecaps,Austin FC,Vancouver Whitecaps
2024-07-13,1323940,FC Cincinnati 1-3 Charlotte FC,FC Cincinnati,Charlotte FC
2024-07-17,1323940,Columbus Crew 1-1 Charlotte FC,Columbus Crew,Charlotte FC
2024-07-21,1323940,Austin FC 2-2 Charlotte FC,Austin FC,Charlotte FC
2024-08-24,1323940,Charlotte FC 1-1 New York Red Bulls,Charlotte FC,New York Red Bulls
2024-08-31,1323940,Charlotte FC 0-1 Atlanta United,Charlotte FC,Atlanta United
2024-07-18,1427963,Seattle Sounders FC 2-0 St. Louis City,Seattle Sounders FC,St. Louis City
2024-07-21,1427963,Sporting Kansas City 1-1 St. Louis City,Sporting Kansas City,St. Louis City
2024-08-25,1427963,Portland Timbers 4-4 St. Louis City,Portland Timbers,St. Louis City
2024-09-01,1427963,St. Louis City 2-1 LA Galaxy,St. Louis City,LA Galaxy
2024-09-07,1427963,New England Revolution 2-2 St. Louis City,New England Revolution,St. Louis City
